-0.003152-0.00015175i,-0.0025506+0.00079276i,-0.0032528+0.0026992i,-0.002596+0.0025915i,-0.0012437+0.0021511i,-5.8591e-05+0.0019713i,0.00061309+0.00097204i,0.0012277-0.00016761i,0.0017301-0.00054466i,0.0018767-0.00012317i,0.001384-0.00010577i,0.00063509-0.00059544i,0.00063156-0.0011868i,0.00065724-0.00099386i,0.00043376-0.00023397i,-0.00027397+6.5118e-05i,-0.0010694+0.00077068i,-0.00075182+0.0004575i,0.00026635-0.00077091i,0.00071991-0.00048295i,-4.3004e-05-3.2433e-05i,-0.00095985-0.00033334i,-0.0012578-0.00022715i
-0.0016081+0.00039179i,-0.0021301+0.0013603i,-0.00099302+0.00096923i,-0.0001546+0.00017359i,-0.00014333-0.0012276i,-0.00031962-0.0020357i,9.2566e-05-0.00075688i,-0.00021082+5.6123e-05i,-0.00086989+0.00010049i,-0.00083421+0.0004398i,-0.00054446+0.00081282i,-0.0010113+0.00091584i,-0.0012182+0.00073208i,-0.00032475+0.00030698i,0.00011994-6.4876e-05i,-0.00029879-0.00027081i,-0.001575-0.00019893i,-0.0017961+0.00023144i,-0.00081678+0.0002025i,-0.00022535-0.00069373i,0.00050229-0.0002975i,0.00023621+0.00031654i,6.6399e-05+4.328e-05i
-0.00096486-0.0046436i,-0.0012875-0.0045904i,-0.0009923-0.0032061i,-2.7905e-05-0.00037615i,0.00034867+0.0011431i,0.0010625+0.00082738i,0.0010228+0.00047273i,-2.8501e-05+0.00010982i,-0.00080225-0.00019629i,-0.00080999+0.000504i,-0.0005067+0.00072191i,0.00022278+0.00025101i,0.0010797+0.00031109i,0.00097396+0.00047921i,9.1062e-05+2.0535e-05i,-8.3e-05+0.00019803i,-4.2994e-05+8.4099e-05i,-0.00043825-0.00031989i,1.7881e-06-0.00035474i,1.3116e-05-0.00018984i,-0.00056672+0.00036996i,-0.0007905+0.00058401i,-0.0011245+0.00082203i
-0.00014838+0.0011876i,0.0012183+0.0016789i,0.0006119+0.0014293i,0.00014953+0.0010053i,0.0010283+0.00088538i,0.00084233-7.308e-05i,0.00077679-0.0013942i,0.0011809-0.0017666i,0.00078581-1.2876e-05i,-0.00025541+0.0017764i,-0.00039593+0.0012829i,-8.2535e-05+0.00018713i,0.00039562-0.00031076i,0.00062783-0.00016347i,6.2045e-06-0.00017021i,0.00045544+8.7694e-05i,0.00081031-0.00032775i,0.00015963-0.001454i,-0.00050639-0.0011204i,-0.0002692-0.00072817i,-0.00038979+9.0397e-05i,-0.00083763+0.0009519i,0.00027434+0.00086272i
-0.0023528-0.00080956i,-0.0026435-0.00089232i,-0.0021896-0.00070898i,-0.0014765-0.00033883i,-0.00071968-7.4585e-05i,0.001087+7.817e-05i,0.00077942+0.00090316i,-5.2465e-05+0.00079316i,0.0005642+0.00033196i,0.00044217+0.00059751i,-0.00013047+0.00072354i,0.00011926+0.00021138i,0.00042541-0.0004753i,0.0001568-0.00040239i,-0.00038212-0.00058269i,-0.00053235-0.00059749i,-0.00021259-0.00029074i,0.00012343-0.00011845i,0.0004747+0.00023646i,0.00042505+4.5341e-05i,4.7595e-05-0.00041552i,0.00012204-0.00084162i,0.00037207+0.00020666i
0.00038936-0.0012503i,0.00010707-0.0023406i,-0.0002662-0.0022551i,0.00057933-0.0010247i,0.00069561+0.00031411i,-0.00018065-0.00075472i,-0.00025383-0.0017667i,-0.00030162-0.0014874i,5.8028e-05-0.00029649i,0.00012283+0.00045061i,-0.00063088+0.00051905i,-0.00086737+0.0003995i,-0.0010822+0.00015688i,-0.00085439-0.00040366i,-3.2102e-05-0.0010619i,-0.00013434-0.00046507i,-0.00071353+0.0011333i,-0.00090379+0.0016442i,-0.0010592+0.00082666i,-0.00059908-0.00044269i,-0.00024753-0.00051439i,-0.00031521-9.9556e-05i,-0.0002278+0.00023478i
-0.00042319+0.0002706i,-0.00019946+0.00040544i,-0.00076002-0.00076277i,-0.00085452-0.00026481i,-0.00014016+0.0010919i,0.00011091+0.00098837i,0.00041377+6.3068e-05i,7.1989e-05-0.00010372i,-7.7557e-05+7.6269e-05i,-0.00029014+0.00010348i,-0.00044205+0.00024668i,-9.372e-05+0.00020212i,7.5287e-05+0.00033078i,-0.00011271+0.00042609i,-0.001001+0.00030142i,-0.0011689+0.0003471i,-0.00049656-6.2326e-05i,-0.00012883-0.00030446i,-0.00050401-0.001119i,-0.00022407-0.0012818i,0.00024714-0.00046493i,-3.7672e-05+9.3098e-05i,-0.00032908-1.91e-05i
-0.0031065-0.0009615i,-0.0027806-0.00077364i,-0.0022379-0.00027545i,-0.0010932-7.6913e-06i,6.1267e-05-0.00014249i,1.964e-05+0.0001111i,-0.00022767-0.00017326i,-0.00023851-0.00014788i,-0.00060636-0.00024256i,-0.00018745-0.0005536i,8.7617e-05-0.00027353i,-7.9542e-05-0.00024266i,-0.00019521-0.00031218i,9.6673e-05-0.00034574i,7.7458e-05-0.00033329i,-0.00047295-0.00052615i,-0.00057689-0.0011487i,-0.00049045-0.0005769i,-0.0007996+0.00043945i,-0.00064941+0.0004844i,-0.00039358-0.00053067i,-0.00086451-0.0010124i,-0.00021565-0.00080151i
-0.00029066+0.00022139i,7.7609e-05-0.00055685i,-0.0001009+0.00042328i,0.00051763+0.00093558i,0.0017396+0.00065713i,0.0020006-0.00042233i,0.00082405-0.00059397i,-0.00033486-0.00047305i,-0.0003841-0.0005366i,-0.00023885+0.0002395i,-0.00032708-8.0486e-05i,-0.00062462-0.001151i,-0.00058147-0.0012482i,-0.0003342-0.0010483i,-9.2525e-05-0.00052637i,-0.00028637+0.00011964i,-0.00087829+0.0002659i,-0.00084174-0.00032497i,0.00012178-0.00086203i,0.00027519-0.00057094i,-0.00021254-0.00062616i,-0.00063284-0.00026406i,-0.0012724+0.00066558i
-0.0011484+0.00078604i,-0.0016261+0.0010805i,-0.0017691-0.00019346i,-0.0018498-0.00039035i,-0.0016596+0.00022024i,-0.0014813+0.00053226i,-0.00081966-3.203e-05i,0.00064945+0.00013947i,0.00072131+0.00035948i,0.00018407+0.0002921i,-8.0435e-05+0.00011806i,-0.00059286-0.00037997i,0.00016264-0.00088707i,0.00098806-0.0011341i,0.00090179-0.00077847i,0.0007214+0.00013371i,0.00017199+0.00050248i,-0.00044607-0.00021998i,-0.00058559-0.0010846i,-2.7742e-05-0.0014389i,-0.00010278-0.00054293i,-0.0011338-0.00022164i,-0.0010776-0.00077046i
0.00053117-0.0034954i,-0.00095757-0.0038744i,-0.000996-0.0027294i,-0.0010826-0.0012503i,-0.00122-0.00098053i,-0.00030855+1.4484e-05i,0.00068389+0.00036985i,0.0011982+4.7407e-05i,0.0010277+0.00053315i,0.00088371+0.00064113i,-8.7548e-05+0.00033383i,-0.0011343-7.3839e-05i,-0.00043458+0.00029891i,-0.00014269+0.0005192i,-0.00046019+9.8647e-05i,-0.00040938-0.00025735i,6.9213e-05-0.00033001i,-5.1261e-05-0.000551i,-0.00024309-0.00017711i,-0.00028633+0.00055357i,-0.00046624+0.00026259i,7.4364e-05-0.00018235i,0.00089817+0.00034961i
