-0.00033817+0.00075725i,0.0013843+0.00022151i,-0.00021465+0.00015442i,-0.0013192-0.00023808i,-0.002253+0.0003303i,-0.003112+0.0010013i,-0.0016092+0.001379i,-0.0003527+0.002277i,2.9771e-05+0.0015609i,0.00033795+0.00074165i,0.00025063+0.00015291i,0.00018934-0.00051335i,0.00050012-0.00079347i,0.00029589-0.00077718i,-0.00043108-0.00030867i,-0.00070673+0.00061747i,-0.0011241+0.00086921i,-0.00065604+0.00022578i,-0.00017034-0.00019654i,0.00046215-7.8481e-05i,0.0012268-0.00022493i,0.00052577-0.00087115i,-0.00019466-0.00085038i
0.00073864+0.0014491i,0.00093308+0.002886i,0.0019307+0.0029728i,0.0013293+0.0020718i,2.1453e-05+0.00095036i,-3.4257e-05+0.00029272i,0.0007179+0.00029215i,0.001259+0.00094765i,0.0012244+0.00092491i,0.00045568+0.00017363i,8.3231e-05+0.00063138i,0.00069709+0.00077368i,0.0010912+0.00042631i,0.00022069+0.00044004i,-0.00023395+0.00076142i,0.00019182+0.00024868i,-0.00019012-0.00066897i,-0.001055-0.00054785i,-0.0010219+3.625e-05i,-0.00030575-5.8932e-05i,0.00015851-0.00015648i,0.00022507+0.00010708i,0.00055858+7.5058e-06i
-0.0017256+0.0020846i,-0.0023268+0.0019885i,-0.0014667+0.0018612i,0.00031561+0.0015087i,0.0016793+0.00033478i,0.0019668+0.00028046i,0.0010999+0.0013871i,0.0010357+0.001791i,0.0012337+0.0015535i,0.00045955+0.00074105i,0.00035321+0.0002069i,0.00083931+9.6245e-05i,0.0009467-0.00036092i,0.00075359-0.00037751i,5.9261e-05+5.0054e-06i,-0.0004599-3.9937e-07i,-0.00062742-0.00042647i,-0.0010675-0.00027461i,-0.00067535+9.9618e-05i,-4.5993e-05+3.9074e-05i,0.00036643+0.00040515i,0.00065214+0.00058936i,0.00084067-1.2265e-05i
-0.0015276-0.00018116i,-0.00212-2.7007e-05i,-0.002766-0.0020861i,-0.002351-0.0019711i,-0.0013253-4.7092e-05i,-0.00065439+0.00061958i,-0.00055999+0.00065056i,-1.4411e-05+0.0011624i,0.00095799+0.00099588i,0.0016435+0.00047833i,0.0018354-0.00025634i,0.0015127-0.00077898i,0.0013022-0.00028069i,0.00090415+0.00022109i,-0.00042719-0.00018894i,-0.00031-0.00030911i,-0.00022156-0.00031485i,-0.0016429-0.00073321i,-0.0011143-0.00028464i,8.0087e-05-0.00020027i,-0.0005376+0.00013184i,-0.0006307+0.0001639i,0.0005409-0.00040319i
-0.00073989-0.0006829i,-0.00082952-0.0002794i,4.1458e-06-1.9004e-05i,0.0006113+0.00061269i,-0.00070976+0.0011398i,-0.0014784+0.0011056i,-0.00050347+0.00079267i,0.00030064+0.00034824i,0.0011981+0.00016922i,0.0011901+2.6639e-05i,0.00051216-0.00051497i,0.00039299-0.00065846i,0.00036589-0.00073645i,0.00020979-0.00041704i,0.00039662+0.00048339i,0.0007111+0.00040006i,0.0012399-0.00049191i,0.00091597-0.00034388i,-0.00019061-5.7733e-05i,-0.00021551-0.00055662i,-0.00035518-0.00074772i,-0.00019045-0.00061392i,0.0003395-0.00063175i
0.0011171-0.0018566i,0.00011776-0.0023983i,0.00019464-0.0024281i,0.00070083-0.0017999i,0.00016231-0.00098665i,-0.00056443-0.00041178i,-0.00090031-0.00010613i,-5.1807e-05+0.00011615i,0.00048121+0.00092977i,1.32e-05+0.00051946i,5.2381e-05-0.0001143i,0.0007358-0.00054655i,0.00099396-0.00069826i,0.00065844-2.4607e-06i,-0.00012903+0.00087638i,-0.00082831+0.0014788i,-0.00035228+0.0015514i,-0.00029952+0.00085366i,-0.00074134+0.00044635i,-0.00061215+0.00083523i,-5.9465e-05+0.00070883i,0.00040532+0.00076709i,0.00031508+0.00083596i
-0.00020015-0.0009639i,1.1959e-05-0.0001213i,-0.00068224+0.00029183i,-0.00080851-2.0195e-05i,-0.0010462-6.7278e-05i,-0.00032854+8.2024e-05i,-4.9604e-05+0.00038423i,-0.00062636+0.0010624i,-0.00031665+0.0012902i,0.0010045+0.0010227i,0.0016565+0.00070979i,0.00061284+0.00019932i,0.00033471+0.00063821i,0.00072011+0.00065411i,-0.0002576+6.9936e-05i,-0.0006501+6.0106e-05i,-0.00045734-0.00012438i,-0.00034412-1.8081e-05i,-0.00013377+0.00025081i,-0.00071965-7.075e-05i,-0.00063869+0.00013797i,0.00019421+0.00012248i,0.00028699-0.00055056i
0.001492-0.00040687i,0.0018829-0.0012162i,0.0026654-0.00053217i,0.0018403+0.00019324i,-0.00084063+4.4368e-05i,-0.0020876-0.00047584i,-0.0006444-2.6414e-05i,0.00036262+0.00083725i,0.00078837+0.00030145i,0.0015182-0.00020197i,0.0011323-8.7752e-05i,0.00055545-0.00060892i,0.00030057-0.00076877i,0.00020335-0.00014895i,-0.00018994+8.728e-05i,-0.00034852+0.00018232i,-2.8145e-05+0.0001036i,-0.00032648+0.00047102i,-0.00070296+0.0011988i,-0.00087972+0.0010303i,-0.0013392+0.00025748i,-0.0007942-4.1941e-05i,0.00033061-0.00011247i
0.0017287+1.4843e-05i,0.0010889+5.409e-05i,0.0020935+0.00036601i,0.002107-0.00031697i,0.0004469-0.00087242i,-0.00081142-7.4747e-05i,-0.0011754+0.00095609i,-0.00050233+0.00081198i,0.00037284+0.00051117i,0.00081274+2.4072e-05i,0.00023929-0.0011796i,-0.00010024-0.0015732i,0.0010583-0.0014361i,0.00099439-0.0018223i,-0.00029933-0.00061369i,3.3501e-05+0.00012213i,0.00059414-0.0003434i,-0.00017631+0.00027759i,-0.00062565+0.00047045i,-0.00048522-0.00022881i,-0.00060816-0.00066838i,9.8694e-05-0.000869i,0.00076252-0.00061041i
0.001294-0.00073019i,0.00072487-0.00098203i,0.00068137-0.0020466i,0.00076122-0.0024675i,0.00056673-0.0021204i,-8.7256e-05-0.00054512i,0.00019609+0.00083384i,0.00023148+0.0014939i,-8.3586e-05+0.00058986i,0.0010448-0.00042295i,0.0017216-0.0004868i,0.0010711-0.00086652i,0.00098295-0.00086047i,0.0010819-0.0008042i,0.00052198-0.0010086i,0.00056863-0.00069687i,0.00059044-0.00042858i,0.00092209-0.0001799i,0.0011481-0.00034848i,0.0006305-0.00059043i,0.00039281+0.00018967i,0.00016288+0.0013029i,-0.00011499+0.0006588i
0.002724-5.7188e-05i,0.0034914-0.00026395i,0.0044541+1.5768e-05i,0.0028496+0.0006152i,0.00093326+0.00024096i,-0.00055481-0.00015076i,-0.0012076+0.00065505i,-0.00025416+0.001337i,0.0010822+0.001361i,0.0013806+0.0001558i,0.0013209-0.0013854i,0.0014511-0.0021675i,0.00080933-0.0014917i,-0.00027913-0.00081983i,-0.0005068-0.00074752i,-0.00023822-0.00016286i,-0.00043738+0.00066432i,0.00015066+0.0015215i,0.00039317+0.0016369i,0.00022056+0.00093255i,0.00078073-3.6289e-05i,0.001039-0.00078576i,0.0005102-0.0012994i
0.0023635+0.0022365i,0.0025922+0.0027546i,0.0034836+0.0019371i,0.0033308+0.00057191i,0.0013631-0.0001789i,-0.00015021-0.00016481i,0.00038957-0.00034562i,0.00097482-0.0003164i,0.0011861+0.00022695i,0.0010039+0.00059067i,0.00044613+0.00013796i,0.0006301-0.00049869i,0.001346-0.00043555i,0.00084763-7.2985e-05i,-0.00014066+0.00026244i,-0.00049736+9.794e-05i,-0.00033978-9.5038e-05i,0.00021969+0.00040632i,0.00019798+0.00056163i,-0.00043813+7.6999e-05i,0.00014899-0.00014423i,0.00088759+0.000176i,0.00046938-0.00015294i
0.00062572-0.0003481i,0.00044786-6.9032e-05i,-0.0012819-0.0006086i,-0.001445-0.00074735i,0.00020529-0.00053079i,-0.0002223-0.00043587i,-0.00049892+5.3452e-05i,0.00051806+0.00033056i,0.0013733+0.00038423i,0.0017382-0.00036058i,0.00084904-0.0011048i,0.00057214-0.0013285i,0.00017419-0.0010635i,-0.00021659-0.00023691i,0.0003132+0.00015963i,0.00042562+0.00067525i,0.00026748+0.0011924i,-9.3892e-05+0.00074929i,-0.00025319+0.00022985i,0.00030044+0.00030298i,0.0002961+0.00026676i,0.00023471-0.000244i,0.00057972-0.00060121i
0.00011576+0.0018468i,-0.00088763+0.0021658i,-0.00086134+0.002583i,-0.00014735+0.0023083i,-0.00073039+0.00091337i,-0.00080853-0.0002164i,-8.5461e-05-0.00020374i,0.00089516+0.00014319i,0.0016449+0.00049677i,0.0018487+0.00018721i,0.0014003-0.00074892i,0.0011507-0.00084033i,0.00094003-5.0974e-05i,0.0002009+0.0001807i,-0.00013703+7.9268e-05i,-0.00031742+0.00011323i,-0.0010638-0.00024067i,-0.0012923-0.0009114i,-0.0010003-0.00063259i,-0.00052808-7.273e-05i,-2.7367e-05+3.3315e-06i,-0.00011219-2.6105e-05i,-0.00042696+9.0884e-05i
0.0013576+0.0012131i,0.0020162+0.0015605i,0.0021331+0.001507i,0.0017027+0.00049366i,0.0014211-0.00054571i,-0.0005301-0.00060069i,-0.0011249+0.00027101i,-0.00036587+0.00088174i,-0.00026426+0.00032274i,0.00048945-0.00015084i,0.00054651+0.0002164i,3.1606e-05-0.00010028i,0.00068734-0.00071768i,0.00067729-0.00077295i,4.7753e-05-0.00092818i,-3.3273e-05-0.00093697i,0.0003244-0.00085945i,0.00062384-0.00065237i,0.00053018-0.00032497i,9.4996e-05-0.00022556i,-0.00019958-4.0848e-05i,6.2926e-06+0.0010932i,-8.7635e-05+0.0012324i
-0.0017259-0.00070021i,-0.0022181-0.00040221i,-0.0014981+0.0013044i,-0.00084425+0.0014383i,-0.00074552+0.001051i,-0.00037882+0.00097845i,-0.00019692+0.0011482i,0.0004054+0.00080044i,0.0015356+0.00060684i,0.0013325+5.0762e-05i,0.00089217-0.00068443i,0.0010118-0.00035825i,0.00083771-0.00016252i,0.00048167-0.00036871i,0.00023172-3.2583e-05i,0.00032263+0.00015918i,0.00026897+0.00039615i,-0.00020152+0.00083679i,-0.00017584+0.00088019i,0.00012013+0.00024165i,-9.7687e-05+0.00012269i,0.00015112-9.8456e-05i,0.00035589-0.00024805i
0.0012047+0.00052093i,0.0015595+0.00069431i,0.0015911+0.0012273i,0.00090447+0.00062745i,-0.00076765-0.00021175i,-0.0015728-0.00016452i,-0.0004756+0.00087385i,0.00061402+0.0018543i,0.00082654+0.0013498i,0.00092784+7.1009e-05i,0.0015511-0.00031498i,0.0011261-0.0011016i,0.00078169-0.0013465i,0.00019704-0.00079525i,-0.00055887-0.00046167i,-0.0002448-5.6233e-05i,-9.9711e-05+3.665e-05i,-0.00016697-0.00028245i,0.00028013-0.00021279i,0.00020238+0.00012825i,7.7429e-06+4.4941e-05i,0.00053943+9.0083e-05i,0.00013856-0.00030555i
-0.00073968+0.00048339i,-0.0017103+0.00019153i,-0.0018576+0.00048175i,-0.0015108+0.0010594i,-0.0010649+0.0011381i,-0.00086354+0.00083875i,-0.00075584+0.00037317i,-0.00052583+0.00065573i,0.00036799+0.00072873i,0.0010836+0.00016658i,0.00073358-0.00011825i,0.00038205-0.00040837i,4.3823e-05-0.00048351i,0.00012447+9.3245e-05i,-0.00025028+0.00052703i,-0.0008015+0.00074909i,-0.00076023+0.00035751i,-0.00062785-0.00043611i,-0.00084093-0.00023254i,-0.00094698+0.00014694i,-0.00080389-0.00029999i,-0.00027409-0.00079357i,0.00026632-0.00078125i
0.00037603-0.0015386i,-0.0001361-0.0010895i,-0.00055044-0.00060146i,-5.8921e-05-0.00087883i,0.00014845-0.000336i,-0.0005844+0.00070195i,-0.00055147+0.0008409i,-0.00023344+0.0007195i,0.00036841-0.00015002i,0.0012203-0.00062227i,0.0013602-0.00068882i,0.0014924-0.00033272i,0.0014845+0.00011498i,0.0011848+0.0003039i,0.00085154-0.00034198i,0.00041825-0.00050312i,0.00042219+0.00015123i,0.00038569+0.00024444i,-0.00039039+4.4235e-05i,-0.0010246+0.00033579i,-0.0010235+0.00034438i,-0.00031658-0.00027648i,0.00017598-0.00057745i
0.001445+3.8429e-05i,0.0011352+5.1965e-05i,0.00067838+0.00063814i,-0.0002658+0.00052332i,-0.001442+0.00022424i,-0.001327+0.00048069i,-0.0006641+0.00077269i,-0.00015322+0.00081924i,0.00074758+0.00048103i,0.0014856-0.00095929i,0.0011099-0.0020385i,0.00077216-0.0011111i,0.0013946-0.00052278i,0.0010588-0.0012253i,-0.0003642-0.0015936i,-0.0014954-0.00085387i,-0.0012069-7.4489e-05i,-0.00016689-0.00021022i,0.0004352+0.00027146i,0.00033576+0.00020989i,-8.4226e-05-0.00021564i,0.0002519-0.0002948i,0.00031734-0.0007126i
0.0008596+0.00069177i,0.0020967+0.00033093i,0.0027217-0.00014897i,0.001383-3.4769e-05i,0.00063235+0.00018751i,0.00065225+0.00033941i,0.00020184+0.00087908i,-0.00082874+0.0015785i,-0.00043382+0.0016231i,0.00043442+0.0010164i,0.00089023+0.00054736i,0.00057257+0.00052052i,0.000234+0.00065823i,0.00034154+0.00040649i,0.00029955+0.00020723i,0.00021965-9.2833e-05i,7.2579e-05-0.00012461i,-3.3693e-05+0.00049548i,7.5825e-05+0.0013211i,5.1364e-05+0.0010974i,-0.00012968+1.1729e-05i,0.00025643-0.00039997i,0.00053363-0.00047342i
-0.0010411-0.0013593i,-0.00091513-0.0019909i,-0.0013442-0.002205i,-0.0015357-0.0023238i,-0.0010155-0.0015131i,-0.00078554-0.00065925i,-0.0004745-0.00054421i,1.825e-05+5.031e-06i,0.00036035+0.00055461i,-0.0001656-3.9613e-05i,-0.00074406-0.00084173i,-0.00042608-0.00073122i,-0.00023508-0.00075497i,-0.00020573-0.0010796i,-0.00035171-0.00088147i,-0.00082615-0.00012869i,-0.00050649+0.00035192i,0.00017703+0.00037605i,-0.00019603+9.4672e-05i,0.00017453+0.00050331i,0.00044601+0.00090803i,0.00021525-0.00022376i,0.00075495-0.0011171i
