-0.0025938+0.0014952i,-0.0018796+5.3705e-06i,-0.0032678-0.00020808i,-0.0029176-5.8162e-05i,-0.0013569+0.00015054i,-0.00069697-3.9131e-05i,-0.00064091+0.00033233i,-0.0004778+0.0015722i,0.00028862+0.0020448i,0.0010526+0.001256i,0.001181+0.00063129i,0.0012961+0.00065842i,0.00055759+0.00019469i,0.00018352-0.00012268i,0.00045941+0.00019247i,0.00081+0.00041421i,0.0007314-0.00020408i,0.00025546-0.0010277i,0.00086462-0.00055409i,0.0018113+0.00032728i,0.0016039+0.00045251i,0.00019938+0.00015574i,0.00021167-0.00024381i
-0.0021562-0.0024214i,-0.0025209-0.0025368i,-0.0015119-0.0028328i,-0.0013837-0.0012711i,-0.0021757-0.0008601i,-0.0014457-0.00073352i,-0.00010633-0.00016654i,0.00038098+0.0010333i,0.00030589+0.002116i,0.00046263+0.0019077i,0.00041254+0.00062182i,3.7878e-05-5.5055e-05i,7.4745e-05+0.00083245i,0.0001551+0.0016189i,-0.00025821+0.00095966i,-0.00050856-1.1737e-05i,0.00036886-0.00055476i,0.0013904-0.00062811i,0.0012092-0.00071074i,0.0007608-0.0012459i,0.00053036-0.0006803i,0.00062941-0.00041247i,0.00029323-0.00067658i
-2.3614e-05+0.00078096i,0.001946+0.0015403i,0.0024685+0.00068928i,0.0026546-0.00049928i,0.0022777-0.0011479i,0.00071345-0.0013257i,-0.00041329-0.0015466i,-0.0001152-0.0011747i,0.00046627-0.00060575i,0.00076237-0.00015567i,0.00082781+0.00053517i,0.0011838+0.0012722i,0.0011392+0.0009434i,0.0010197+0.00052047i,0.0018855+0.00075938i,0.0013678+0.00055328i,-4.5744e-05+5.1083e-05i,-0.00062201-0.00031785i,-0.00056731-0.00031706i,-0.00039657-0.00020964i,-0.00034077-0.00037431i,-0.00050257-0.00044893i,-0.00062669-0.00015211i
0.00090185-0.00068153i,7.8115e-05-0.00046677i,0.00051997-0.00088042i,0.00047976-0.00073297i,-0.00082652-0.00085861i,-0.0014492-0.0015982i,-0.00076982-0.0014037i,0.00071322+0.00010582i,0.0011373+0.00073466i,0.00052867+0.00048588i,0.00044783+0.00063461i,0.00044639+0.0012398i,-0.00022848+0.0013279i,-0.00080972+0.0015795i,-0.00082843+0.00089591i,0.00047353-0.00074222i,0.0017721-0.001444i,0.0014606-0.0015037i,0.00079863-0.001637i,0.00013049-0.0020302i,-0.00048413-0.0019646i,-0.00086057-0.00095599i,-0.00065533+5.9281e-05i
-0.00011523-0.00032217i,0.00015383-0.00098362i,0.00090408-0.001257i,0.0010206-0.00099718i,0.0014373-0.000777i,0.00064498-0.0010566i,3.1604e-05-0.0013813i,0.0003313-0.00091802i,8.2932e-06+6.2389e-05i,5.1131e-05+0.00074334i,0.00039701+0.001379i,-1.127e-05+0.001662i,0.00071888+0.0010666i,0.0011991+0.00096364i,0.00040196+0.00055313i,0.00030939+0.00042249i,0.00075627+0.00027819i,0.00094739-0.00045298i,0.00051543-0.00072245i,0.00030133-0.00092273i,0.00048906-0.00063519i,-6.7647e-05-5.9203e-05i,-0.00056134-0.00027561i
0.00098428+0.0014052i,0.001409+0.0025898i,0.0016042+0.0029458i,0.00065247+0.0015743i,0.00048148+0.00033304i,0.001131-0.00096754i,0.0012222-0.0014975i,-0.00018784-0.00032075i,-0.0010294+0.00024969i,0.00032867-0.00051947i,0.00094008+0.00015016i,0.0012841+0.0015047i,0.0022869+0.0014453i,0.0014714+0.00077612i,0.0004286-0.00011403i,0.00090987-0.00061494i,0.0011655-9.6995e-05i,0.00021078+0.00037162i,-0.00045833+0.00021599i,-9.022e-05-2.3142e-05i,3.4468e-05+0.00024373i,-0.00055098+0.00040423i,-0.00022145+0.00045479i
-0.0010509-0.0010242i,-0.0018158-0.0010977i,-0.001487-0.0012469i,-5.1483e-05-0.0011314i,-0.00025086-0.0014395i,-0.0002187-0.0012141i,-0.00010016-0.00088172i,-0.00020199-0.00017484i,-0.00079017+0.00081726i,-0.00057705+0.00064358i,0.00074705+0.0001839i,0.0012165+0.00035597i,0.0008576+0.0004804i,0.00084064-1.9508e-05i,0.00076881+0.00035243i,0.00016852+0.0010837i,-0.00021153+0.0005419i,0.00030144-0.00057101i,0.00060362-0.00076713i,-0.00038333-0.00054543i,-0.00091263-0.00055305i,-0.0011003-0.00047953i,-0.0011137-0.00030734i
-0.00076001+0.00081908i,-0.00049243+0.00036632i,0.00011235+0.0010658i,8.8466e-05+0.0011328i,0.00053427-4.8981e-05i,0.00066814-0.00090623i,-0.00039009-0.0011069i,-0.0011763-2.7854e-05i,-0.00032446+0.00085996i,0.0007293+0.00054716i,0.0009992+0.00030668i,0.00094207+0.0005608i,0.00096443+0.0012344i,0.00092714+0.0015697i,0.00085574+0.001309i,0.00064667+0.00044816i,0.00076-6.996e-05i,0.00069003-0.0007111i,0.00038288-0.0017322i,2.4425e-05-0.0013308i,-0.0005227+2.5979e-05i,-0.00043465-4.3883e-05i,-0.00046388-0.00043019i
0.0017778+0.0025828i,0.0011092+0.0026081i,0.0019411+0.0013173i,0.0020305-0.00045185i,0.0015161-0.00048957i,0.0007719-0.0004201i,0.00017278-0.00053413i,3.3697e-05+0.00035159i,6.4273e-05+0.0019163i,0.00077491+0.0019583i,0.0021771+0.0019523i,0.002512+0.0017038i,0.0020142+0.00095452i,0.0018938+0.00066876i,0.0015983-3.7197e-06i,0.00092148-0.00062959i,0.0001474-0.00090526i,-0.00018365-0.00094887i,0.00032304-0.00053545i,-6.4763e-06-0.00017753i,-0.00018387-0.0001934i,2.3055e-05-0.00024694i,-0.00036868-0.00037749i
0.00028957-0.0013113i,-0.00045097-0.0016099i,-0.0010282-0.0014927i,-0.0006585-0.00056924i,0.00038794-0.00038076i,0.0011062-0.0011143i,0.00036754-0.0012861i,-0.0001087-0.00053578i,9.5046e-05+0.00087974i,0.00061093+0.0014088i,0.00070648+0.0012914i,-0.00011851+0.0012696i,-0.00033461+0.00097974i,0.00075898+0.00039784i,0.0014698+8.2349e-05i,0.00086316-0.00032095i,0.00056688-0.0014822i,0.0014209-0.0010391i,0.0015725-0.00018892i,0.0016829-0.00071125i,0.0006649-0.0007604i,-0.00051621-0.00013247i,-0.00072004-0.00015601i
0.0022316-0.00087498i,0.0018305-0.00087989i,3.1496e-05-0.00066049i,-0.00011882-0.0013102i,0.00078144-0.0017579i,0.00038041-0.002622i,-0.00045612-0.0029747i,-0.0003559-0.0014162i,2.2286e-05+0.00048792i,0.00054632+0.0014589i,0.0010296+0.001137i,0.001093+7.7818e-06i,0.00044831-0.00083778i,-0.00012816-0.00029305i,0.00013699-0.00037397i,4.1132e-06-0.00087661i,-0.0003035-0.00099431i,4.1384e-05-0.0012349i,0.00039761-0.0016199i,0.00013158-0.0018305i,-0.00054574-0.00090565i,-0.0013403-5.4096e-05i,-0.0011602-0.0003137i
