-0.0018372+0.0015117i,-0.0026575+0.0014668i,-0.0019751+0.0013235i,-0.0016842+0.00040113i,-0.001536+0.00044434i,-4.3846e-05+0.0012682i,0.00058538+0.0020009i,0.00099688+0.0013575i,0.0013506+0.0006581i,0.0014639+0.00099607i,0.0014284+8.8361e-05i,0.0005678-0.0011474i,0.00032685-0.00071129i,0.0002756-0.00027763i,-7.7113e-05-0.00028954i,-1.383e-05+0.00017894i,0.00022596+0.00038705i,0.00053848+0.00064845i,-3.8827e-06+0.00057057i,-0.00023965-0.00024375i,0.00057584-0.00037238i,0.00062091+6.6361e-06i,-0.00016999-7.3893e-05i
0.0015628+0.00054444i,0.0015602-0.00092338i,0.0010626-0.0014143i,-0.0005854-0.00057309i,-0.00074657-0.00026114i,-0.00030881+0.00074371i,0.00048755+0.00074107i,0.0013425-1.7259e-05i,0.0020029-0.00075527i,0.001044-0.00088007i,-0.00047618-0.00049586i,-0.0010718-0.00040229i,-0.0013314-0.00086637i,-0.001329-0.0002813i,-0.0013236+0.00038298i,-0.0013999+0.00029341i,-0.00060214+7.6427e-05i,-0.00013027+0.00064976i,-0.0002942+0.00093912i,0.00016524+0.00082524i,0.000207+0.00094456i,4.9448e-05+0.0003207i,-0.00045918+0.00014596i
-0.0017287+0.001166i,-0.0015784+0.0017166i,-0.0011782+0.0022567i,-0.00094044+0.0025848i,-0.00010117+0.0023939i,0.00069622+0.00080787i,0.00025914-0.00026038i,0.0004705-0.00014802i,0.00073828-0.00024432i,0.00072703-0.00038331i,0.00098653-7.898e-05i,0.00040593-3.1064e-05i,0.00026879-0.00042607i,0.0010184-0.00057961i,0.0010327-0.00050364i,0.00056893-0.00046705i,-7.2216e-05-0.00019324i,0.00015596+0.00010002i,0.00063663+0.00014899i,7.8007e-05-9.3096e-05i,0.00038042-0.00020214i,0.00095834+0.00033855i,0.00041767+0.00083108i
-0.0012555+0.00010493i,-0.0011758-0.001211i,-0.001522-1.604e-06i,-0.0011596+0.0022947i,0.00023588+0.0028325i,0.0017316+0.0019654i,0.0025484+0.0010574i,0.0018735+0.00037809i,0.0010433+0.00074016i,0.00073638+0.0007457i,0.00019145+0.0002502i,0.00048219+0.00020452i,0.00084208+0.00010892i,0.00056899-0.00063514i,0.00062631-0.0010531i,0.00091296-0.00040807i,0.0013329-0.00019295i,0.00087733-0.00046824i,-4.252e-06-0.00063946i,0.00041927-0.00042934i,0.00024726-0.00035838i,0.00022606-0.0010603i,0.0010549-0.0014707i
0.0013968+0.00011424i,0.00070573+0.00014221i,-0.00080952-0.00059496i,-0.001365-0.0007744i,-0.00059625+0.00022823i,-7.479e-05+0.00034423i,2.9339e-05+0.00031554i,-0.0005462+8.4849e-05i,-0.00078641+3.7907e-05i,-0.00028505+0.00023819i,-6.7779e-07-6.0591e-05i,0.0001143-3.0132e-05i,-0.00021081+0.00076466i,-0.00070671+0.001131i,0.00016013+0.00014948i,0.00045482+5.5569e-06i,-2.9931e-05+4.6688e-05i,-1.1192e-05+0.00017983i,6.5853e-05+0.00029269i,0.0007275+0.00016667i,0.0014194+0.00021623i,0.00089439-0.00030065i,0.00034859-0.00014732i
-0.00018252+0.00038284i,-5.6543e-05-0.00024671i,-0.00088464-0.00035151i,-0.001362+0.00032809i,-0.0010944+0.0013518i,-0.00024543+0.0014315i,0.00038004+0.00077348i,1.2347e-05-0.00024028i,-0.00021776+0.00010484i,-3.5241e-05+0.00085828i,0.00085565+0.00096966i,0.0014557+0.00081136i,0.00053663+0.00087778i,-0.00029011+0.00051706i,-0.00033356+7.4867e-05i,-0.00085868+0.00036215i,-0.00097024+0.00026158i,-0.00038-0.00014682i,0.00018614+0.00017284i,0.00025499+3.8651e-05i,-3.955e-05-0.00066008i,0.00041007-0.00077166i,0.00068172-0.00088265i
-0.0017698-0.00033521i,-0.00038448-0.0001429i,6.5431e-05-0.00044566i,-5.6498e-05+8.7825e-05i,0.00075773+0.00093922i,0.0011611+0.00062225i,0.00040073+0.0008015i,0.00022505+0.00082732i,0.00073925+0.00037626i,0.0012672-0.00029812i,0.0011741-0.00046874i,0.00026373-0.00050377i,-0.00061087-0.00091063i,-0.00061449-0.00082718i,-0.00016113-0.00042189i,0.00050221-0.00031283i,3.7525e-05+0.00018469i,-0.00067447+0.0011177i,-0.00056421+0.00094781i,-0.00045499-0.00014918i,-0.00032029-0.00060497i,-0.00026041-0.00041563i,0.00031126+0.00021511i
-0.00019567-0.00071326i,-0.00040084-0.0010259i,-0.0014448-0.00013685i,-0.00079862+0.00045645i,0.00079114+0.00074631i,0.0013946+0.00078351i,0.0016205+0.00034449i,0.00051538-0.000335i,-0.00020551-0.00017342i,9.4837e-05+8.1689e-05i,8.0181e-05-0.00026396i,0.00016629+0.00012869i,-0.00041362+0.00030045i,-0.00049973-0.00037014i,0.00030936-0.00016897i,0.001027+0.00077313i,0.00072016+0.0014867i,0.00013694+0.0012227i,0.00016087+0.00023161i,0.00018938-0.0001875i,0.00050726+1.9425e-06i,8.0902e-05-0.0002139i,-0.00024314+8.3584e-05i
0.00025818-0.0013329i,-0.0005835-0.0028726i,-0.0016236-0.0023816i,-0.001643-0.00038853i,-0.00059833+0.0005229i,0.00059333+0.00096051i,0.0014174+0.00084205i,0.0013017+7.9205e-05i,0.00020548+1.2166e-05i,2.2753e-05+8.8854e-05i,-2.7327e-05+0.00017344i,-8.6539e-05-0.00019894i,0.00042379-0.00012748i,0.00083797+0.00060308i,0.00082331+0.000802i,0.00062552+0.00043292i,0.0010109+0.00015244i,0.0014006+0.00038195i,-0.00020855+0.00033516i,-0.00092555-0.00018139i,-8.6678e-06-0.00018096i,0.00048824+0.00026706i,0.00040794+0.00037444i
0.00066591+0.0018144i,0.0011145+0.0016453i,-0.00070725+0.0011994i,-0.0020872+0.00081125i,-0.00093773+0.00096463i,0.00020475+0.0013654i,0.00036414+0.0010576i,0.00054378+0.0010305i,0.00025492+0.00083082i,-0.00016186+0.00039441i,-0.00027895+2.1919e-05i,-0.00084083+0.00057542i,-0.0010609+0.00089928i,-1.4952e-05+2.5958e-05i,0.00046302-3.4231e-05i,-0.00040449+0.00043565i,-0.00034807+0.00060591i,0.00049529-0.0004686i,0.000956-0.0011305i,0.00075573-0.0011586i,0.00049514-0.00087278i,0.00028143-0.00035866i,-0.00022648-0.00014527i
-0.0018116-0.0018652i,-0.0020687-0.00084046i,-0.0017038-0.00011386i,-0.0010927+0.00078586i,0.00039992+0.0020648i,0.001004+0.002959i,0.00056506+0.0016928i,0.0011269+0.00022656i,0.00090137-0.00025965i,1.8979e-05-0.00080172i,-0.00064736-9.7488e-05i,-0.00088002+0.00032978i,-0.00011234-0.00013513i,0.00042868-4.4971e-05i,0.00033373+0.00047503i,0.00072845+0.00023299i,0.00070466+0.00020972i,-5.3256e-05+0.00094447i,9.4012e-05+0.0012734i,0.0011342+0.00062261i,0.0012054-0.0001032i,0.00037598-0.00056956i,-0.00031659-0.00061507i
0.0023741+0.00071985i,0.0019658+0.00091048i,0.0017889+0.00050154i,0.0011283-0.00015861i,0.0011435-0.0001835i,0.0019166+0.00086263i,0.0012386+0.0012126i,-0.00051993+0.0007954i,-0.00089249+0.00043672i,-0.00026652-0.00020982i,-0.00014342-0.001192i,-0.00045695-0.0013669i,-0.00053689-0.0011078i,-0.00027337-0.00026263i,-0.00059761-0.00024329i,-0.00072801-0.00056227i,-0.00015123-0.00041191i,-6.0245e-05-3.1701e-05i,-4.6929e-05+0.00021398i,-2.5706e-05+0.00040474i,-0.00021402+0.00048467i,-0.00032714+9.4955e-05i,-0.00027746-1.1856e-05i
-0.0010219-0.0021857i,-0.0012553-0.0022568i,-0.0020395-0.0013849i,-0.0019572+0.00040254i,-0.0010931+0.0017504i,0.0003858+0.0020597i,0.0017087+0.0015098i,0.0012731+0.00055103i,0.0006011+1.807e-05i,0.00060945-0.00046836i,0.00049035-0.00038926i,0.0004562-1.6381e-05i,0.00051439+0.00039604i,0.00026845+0.00050912i,0.00018949+0.00037732i,-9.4444e-05+0.00082987i,-0.00030567+0.00028415i,0.00012283+0.0001527i,0.00066909+0.00023249i,0.00088949-0.00042281i,0.0006163-0.00026922i,0.00084148+0.00068188i,0.00087345+0.0010903i
