-0.0023526-0.00034587i,-0.0023543-2.8613e-05i,-0.0023316+0.00091185i,-0.0016678+0.00024174i,-0.0012784+0.00028846i,-0.0019696+0.0019826i,-0.0011883+0.0024676i,0.00053239+0.0022262i,0.00073099+0.0008054i,0.00074537-0.0010951i,0.00093811-0.0015233i,-7.7388e-06-0.00094553i,-0.00060719-0.00049054i,-0.00018624-0.00028741i,0.00019934-3.2738e-05i,0.000287-0.00039035i,-3.2552e-05-0.00057297i,-0.00026766-0.00020329i,-0.00061023-0.00051946i,-0.0011929-0.00076259i,-0.00054788-0.00074507i,0.00022498-0.00062048i,-0.00027105-0.00037561i
-0.00053756+0.0012574i,0.00060991-4.8257e-05i,0.0015428-0.00041749i,0.0015367+7.0353e-06i,0.00032804+0.00028033i,-0.00051505+0.00043812i,-0.00015394+0.0010261i,0.00034821+0.0005117i,0.000224+5.0059e-05i,0.000266+0.00068797i,0.00021141+0.00063593i,9.2137e-05-0.00050178i,5.2297e-05-0.00035327i,0.00025482+0.00059088i,0.00072429+0.0003282i,0.00062465-0.00056341i,0.00064482-0.00075478i,0.00087269-0.0005845i,0.00072593-0.0006831i,0.00010727-7.0777e-05i,-0.00055443-4.3908e-05i,-0.00053197-0.00026832i,-0.00011323+8.8108e-05i
0.0010944+0.0015743i,0.00099611+0.0015404i,0.0012069+0.00029022i,0.00077308+0.00019573i,-0.00044213+0.00074144i,-0.00023478+0.00082758i,0.00037036+0.0010782i,0.00060931+0.0010241i,0.0007058-8.5234e-05i,0.0012977-0.00045141i,0.0014822-0.00046253i,-0.00015523-0.00017957i,-0.00052912+0.00031588i,0.00037369+0.00034095i,-0.00053364+0.00081777i,-0.0015753+0.00078936i,-0.0012637+0.00066583i,-0.00091737+0.00062959i,-0.00043769-0.00023017i,0.00030417-0.00061489i,0.00091769-0.00089519i,0.0014621-0.00061504i,0.0011202+8.2505e-05i
0.00066115-0.00052777i,-0.00036011-0.00067572i,0.00027731+0.00036196i,0.00051054-0.00023909i,0.00021638-0.0011314i,0.0005736-0.00048637i,0.0013611-0.00030058i,0.0016218-0.00071176i,0.00062844-0.00036233i,-8.7075e-05-3.0259e-06i,0.00033794-0.00021799i,0.00077996-0.00027179i,-2.1885e-05-0.00047082i,0.0002106+7.3578e-05i,0.00075707+0.00063372i,0.00017828-0.00013551i,0.00014618-0.00037317i,-0.00011369+0.00011532i,-0.00034016-0.00020167i,-0.00048439+0.00021004i,-0.00036998+0.00065194i,-8.602e-05+0.00032497i,0.00031604-0.00035314i
-0.0024156-0.0014069i,-0.0020922-0.00065246i,-0.0016623+0.0015691i,-0.00086438+0.0017397i,8.9235e-05+0.00046426i,0.00038438-0.00018884i,-0.00022923-0.00026999i,-0.00026253-5.9091e-05i,0.00066586+0.00040078i,0.0011126+0.00041807i,0.00058937+0.00051111i,0.00034345+0.00083582i,0.00059311+0.00072413i,0.00078613-0.00031527i,0.001127-0.00057146i,0.00085788-0.00021731i,0.0002702-0.00040115i,-0.00023174+6.9718e-05i,-0.00082972+0.00062821i,-0.00081626+1.0593e-05i,-0.0008062-6.9859e-05i,-0.0007669+0.0010299i,0.00016761+0.0014656i
-0.0010588+0.0015694i,-0.001075+0.0024614i,-0.00059675+0.0016178i,0.00038986+0.00049047i,0.001077+0.0010245i,0.00089017+0.001087i,0.00070421+0.00056035i,0.00058448+7.9438e-05i,0.00044329-5.4337e-05i,0.00091256+0.00015809i,0.0010913+0.00023001i,0.00097949-0.00020243i,0.00060179-0.00040489i,-0.00029203+0.00011277i,-0.00069549+8.3866e-05i,-0.00088591+0.00020979i,-0.00058662+0.00010866i,0.00029923-0.00021224i,0.00077082+9.4031e-05i,0.00060523+0.00014439i,0.00028884-0.00048888i,0.00018179-0.00050974i,0.0002598-0.00037625i
-0.001498-0.00058725i,-0.00061319-0.00031659i,6.2026e-05-6.6079e-05i,0.0011086+0.00041926i,0.00095134+0.00081922i,0.00080382+0.00019121i,0.0007521-0.00022989i,0.00051122-0.00041103i,-0.00010744+0.00020735i,0.00013174+0.00098962i,0.0012582-3.913e-05i,0.0013361-0.0010162i,0.0012191-0.00074337i,0.00095039-0.00031728i,0.00057083-0.00048734i,0.0001858-0.00074412i,-0.00042199-0.00018724i,-0.00043523+0.000117i,-0.00014857-0.00029132i,-0.00074017-0.00025291i,-0.00080225-0.00025333i,-0.00028657-4.9614e-05i,0.0003561+0.00031452i
0.00051896+0.0014913i,-2.2735e-05+0.0014357i,-0.00061194+0.00078224i,0.00058527+0.00074906i,0.0010479+0.00035693i,7.9909e-05-7.3683e-05i,0.00046978+0.00059724i,0.0010595+0.00087226i,0.00048947+0.00055416i,-0.00023909+0.00068156i,-0.0008677+0.00039235i,-0.00060267+0.00017902i,-0.00018765+0.00069045i,3.1345e-05+0.0007526i,-0.00028593+0.0001171i,-0.00026581-0.00031674i,0.00013605-0.0002669i,2.591e-05-0.00030246i,-3.3045e-05-0.00044406i,-0.00020351-0.00018725i,-0.00061345+0.00055277i,-0.00053335+0.00016029i,0.0006988-0.00088981i
-0.00015858-0.0016419i,8.3698e-05-0.00096294i,0.00049146-0.00084928i,0.00029653-0.0004712i,-0.00084966+0.00042616i,-0.00055249+0.0010935i,0.00028626+0.00098586i,5.8101e-05+0.00062969i,-0.00020587+0.00012028i,-0.00017204-0.00081193i,-0.00022871-0.00099554i,-0.0003443-0.00064006i,-0.00080749+2.641e-06i,-0.00051469+0.00036307i,0.00012622-6.4289e-05i,-4.1321e-05+0.00041741i,-0.00040639+0.00067536i,-0.00054533+0.00031082i,-0.00044509+0.00024142i,-0.00040642+0.00011592i,-0.0002299-0.00011045i,-8.8493e-05-0.0006139i,0.00025499-0.0011391i
-0.00059081-0.0010382i,-0.00090692-0.00013118i,-0.0011533+0.00063474i,-5.9401e-05+0.00093841i,0.0012987+0.001027i,0.0021632+0.0013337i,0.0010962+0.00093589i,0.00028389-0.00025659i,0.00060545-0.00072518i,0.00061457-8.4025e-05i,0.00059757-2.7222e-05i,0.00043027-0.00047508i,0.00042061-0.00051907i,0.00046436-7.7092e-05i,-5.3489e-05+0.00018287i,-0.00054803+0.0007873i,-0.00033716+0.00090845i,3.9771e-08-7.3828e-05i,0.00028889-0.00087782i,-5.4299e-05-0.0011541i,-0.00045439-0.0007508i,-3.1623e-07-0.00033219i,0.00020037-0.00013212i
-0.00048046+0.0022985i,0.00026769+0.0024586i,0.0017388+0.0014188i,0.0022485+0.00019731i,0.0019456-2.4495e-05i,0.0012671+0.00024756i,0.00046156+0.00092438i,0.00019552+0.00079107i,0.00091258-0.00025885i,0.0011351-0.0010945i,0.00073808-0.00087339i,0.00032397-0.00053528i,-0.00056733-0.00044066i,-0.00099015-0.00063619i,-0.0011953-0.00047184i,-0.0012068-0.00038939i,-0.00035715-0.00045109i,-0.00017068-0.00055499i,-0.00034387-0.00096419i,6.1368e-05-0.00077127i,0.00027728-0.0005337i,0.00014484-0.00038549i,0.00016764+0.00045081i
-0.00057656-0.001765i,-0.0013376-0.0018674i,-0.0011593-0.001395i,-0.00078996-0.00056957i,-0.00048934+0.00052766i,0.00018226+0.00080983i,-0.00022264+0.00065151i,-0.00046567-1.512e-05i,-0.00011701-0.00022121i,-0.0003899+0.00021886i,-0.00066096+0.00068825i,0.00026924+0.001024i,0.00055299+0.00062109i,0.00024064+0.00021873i,0.00036839+0.0001107i,-0.00017862-0.00037091i,-0.001289+0.00031948i,-0.0011799+0.0014012i,-0.00033971+0.0011146i,0.00012905+0.00049075i,-2.5224e-05+0.00031338i,-0.00043482+0.00052634i,-0.00024034+0.00015022i
-0.00093261+0.0012656i,-0.00058071+0.002257i,-0.0010166+0.0025302i,-8.297e-05+0.0017716i,0.00068328+0.001294i,-0.00048309+0.0012205i,-0.00063455+0.0010028i,-1.9618e-05+0.00051668i,-0.00058565-7.082e-05i,-0.0009842+0.00011881i,0.00023481+0.00021547i,0.0011292-0.00041776i,0.00061708-0.00097744i,0.00010868-0.0011728i,-5.4303e-05-0.00023959i,-0.00071725+0.00020451i,-0.00095862-0.00020213i,-0.00043219-8.6283e-05i,-5.2073e-05+0.00015845i,0.00047285-0.00023382i,2.3002e-05+6.3494e-05i,-0.00043874+0.00071781i,-0.000238+0.00035944i
-0.000913-0.0010301i,0.00010359-0.0016983i,0.00053912-0.0020219i,0.00017829-0.00041913i,-0.00019842+0.00069952i,0.00039776+0.00037757i,0.00083829-0.00065393i,0.00081306-0.0010498i,0.00069968+5.7309e-05i,0.00040642+0.00072199i,-6.5905e-05+0.0004815i,-3.1098e-05-0.00016047i,-0.00025528-0.00035783i,-0.00099845-0.00029461i,-0.00092806-0.00030612i,-0.00060062+6.7802e-05i,-0.00044639+7.1799e-05i,-0.00045352-0.00014187i,0.00045572+0.00046582i,0.00095176+0.00086782i,0.00010927+0.0010006i,-0.0004086+0.00069437i,-0.00055728-0.00037642i
