-2.2823e-05+0.0011896i,-0.00054163-8.2322e-05i,-0.0012533-0.0011055i,-0.0010887-0.00076182i,-0.0018472+0.00021418i,-0.0025887+0.00093192i,-0.0022351+0.0012297i,-0.00089119+0.0014429i,0.00065173+0.0012046i,0.001147+0.00042274i,0.0015725-3.5717e-05i,0.00071761-0.00043682i,0.00020578-0.0007123i,0.00019386-0.00033439i,-5.5158e-05-0.00032668i,-7.291e-05-0.000315i,0.00013436-1.516e-05i,0.00053862-0.00068226i,-3.4374e-05-0.00079402i,-0.00029998+1.6077e-05i,-0.0004452-0.00047792i,-0.00079209-0.0011978i,-0.00059361-0.00085433i
0.00022121+0.0010246i,-0.00018718-0.00061949i,0.00080189-0.00036198i,0.0014014-0.00010511i,0.00073791-0.00058095i,0.00037625-0.0012328i,3.3007e-05-0.0013328i,0.00018278-0.00061522i,0.000342+0.00022575i,0.00034326-3.3709e-06i,0.00052059-0.00051512i,0.00042831-0.00084963i,0.00097134-0.00068803i,0.00062961+0.00019076i,-1.5458e-05-1.4682e-05i,-0.00019197+0.00010766i,-0.00034037+0.00047822i,-0.00047351+0.00014655i,0.00019219-0.0003268i,0.0012693-0.00043303i,0.0012754-1.2116e-05i,0.0010118-0.00013974i,0.00069911-0.00023868i
0.0010611+0.0012065i,0.00041453+0.00021817i,0.00020133+0.00078596i,0.00040036-0.00015894i,0.00069365-0.00083447i,-0.00019952-0.00025236i,-0.001849+5.9998e-05i,-0.0012359+3.8844e-05i,0.00015677-0.00025134i,0.00027224-0.00061646i,0.00028382-0.00046341i,-0.00023542+8.2415e-05i,-0.00026482+0.0010615i,-0.00042987+0.001682i,8.0909e-05+0.00070297i,0.00064294+1.1666e-05i,0.00046265+0.00035651i,0.00015285+0.00043569i,-0.00010661+0.00069277i,6.672e-05+0.0002503i,0.00021072-0.00076051i,0.00021404-0.0011689i,0.00040029-0.00079785i
-0.00016819-0.00074216i,0.00031912-0.00038938i,0.00025062+0.0011761i,0.00077515+0.0010481i,0.00095048+0.00046739i,-4.7389e-05-0.00041183i,-0.00060619-0.0012167i,-0.00058027-0.00099433i,-0.00020509-0.00020867i,0.0010119-0.0001081i,0.0012492-0.00066641i,0.00044657-0.00027023i,0.00063538+8.6226e-06i,0.00076199+0.00038682i,0.00015138-0.00030924i,-0.00037884-0.00070846i,1.5193e-05+0.00011229i,0.00071898+0.0005646i,-0.00019088+0.00033254i,-0.0006171+0.00013419i,-0.00057802+0.00052024i,-0.0005732+0.0004394i,-0.00062552+8.0054e-05i
-0.00065603-0.0011047i,-0.0010167-0.0011821i,-0.0010428-0.00046274i,-0.00024486-0.0007149i,-0.00046733-0.00058608i,-0.0008876+5.802e-05i,-0.0010491+0.00035025i,-0.00094453+0.00046495i,-0.00066918+0.0010675i,0.00014503+0.0006987i,0.0002994-0.00032078i,-0.00030145-0.0010742i,-0.00040605-0.0015242i,-0.00012939-0.00081716i,0.00022623-5.8895e-05i,0.00022762-0.00012648i,0.00046719-0.00057978i,0.00088184-0.00047068i,0.00035642+0.00011484i,-0.0005168+0.00036615i,-0.00018372-0.00015287i,-0.00012765-0.00013321i,-0.00046649+8.4671e-05i
-0.0001473-0.0011126i,-8.2749e-05-0.0024562i,0.00018612-0.0026244i,0.0003929-0.0020278i,-5.4169e-06-0.0011107i,-0.00089644-0.00049858i,-0.00085319-0.00048745i,0.00014862-0.00068911i,0.00077545-0.00043756i,0.00032192-0.00014616i,-0.00027783-0.00047009i,-0.0002998-0.0009747i,-0.00016121-0.00023238i,-0.00021394+0.0001592i,-0.00018442-0.00018534i,-0.00041365+0.00017873i,-0.0010585+0.0008253i,-0.0010658+7.644e-05i,-0.00077591-0.00080524i,0.00010702+5.2829e-06i,0.00031685+0.00035866i,-0.00033395-4.3084e-05i,-0.00016025+0.00051819i
-0.00078863+0.00023313i,-0.0015034+0.00082495i,-0.00034822+0.00036593i,0.00063735-5.6587e-05i,0.00045857-0.00044703i,-0.00029904-0.00068762i,-0.00039681+2.7323e-06i,-0.00010946-1.0342e-05i,1.8496e-05-0.0007379i,0.00047831-0.00037581i,0.00085847+0.00010965i,0.00088431-0.00016445i,0.0008536-0.00020384i,0.00048813+0.00010577i,-2.0069e-05+0.00018433i,0.00066673-0.00013446i,0.0006963-0.00018937i,0.00027123+0.00013579i,-1.1831e-06+9.5836e-05i,4.8893e-05-0.00014127i,7.4453e-05+0.00022523i,-0.00046998+0.0007215i,-0.00078077+0.00055533i
-0.00086952-0.0011138i,-0.0005809-0.00068599i,-0.00078627+0.00010159i,-0.00031477-3.4031e-05i,-0.00019197-5.2327e-05i,-0.00049283-0.00023812i,-0.00061487-0.00051091i,-0.00033802-0.0010114i,-4.5153e-05-0.0004155i,0.00024382+0.00037043i,0.00015522+0.00055782i,0.00043658+0.00067259i,0.0012253+0.00061852i,0.00049584+0.00022166i,-0.00030269-0.00039632i,-6.297e-05-0.00030789i,7.9838e-05+7.4353e-05i,0.00054594+0.00011956i,0.00071038-0.00043902i,-0.00022655-0.00079759i,-0.00043801-0.00040957i,-0.00045307-0.00068826i,-0.00024783-0.00080204i
-0.0020487+0.00022075i,-0.001997-0.00052336i,-0.0020852-0.00068494i,-0.0017768-0.00087369i,-0.00028651-0.00071022i,0.00016691-0.00040283i,-9.6491e-05+0.00017101i,-8.1748e-06+0.00032131i,0.00047779-1.8153e-05i,0.00023479-0.00045067i,0.00011919-0.00053575i,0.00068967+0.00030086i,0.00044349+0.00028306i,7.948e-05-0.00051756i,-2.8432e-05-0.00081298i,-3.0554e-06-0.00047516i,0.000255+8.23e-05i,0.00020811+0.00017839i,8.4994e-05-1.6638e-05i,0.00013293+4.8829e-05i,-0.0001787+0.00022089i,-0.00038756+0.00024448i,-0.00011893-0.00036293i
0.0010123-0.0013674i,-0.00023203-0.0013488i,-0.0019431-0.0011771i,-0.0017344-0.0010515i,-0.00079075-0.00074395i,-0.00073689+0.00057371i,-0.00056498+0.00078072i,-0.00044857-6.475e-05i,-0.0002609+0.00036021i,0.00044171+0.00023927i,0.0003451-0.00054541i,6.3141e-05+0.00048053i,0.00035265+0.00057197i,-3.8659e-05+0.00017111i,-1.6206e-05+0.00015083i,-0.00029663+0.00046872i,-0.00050253+0.00069166i,-0.00016913+0.00047205i,-0.00017874+0.00058158i,0.00011325+0.0002337i,0.00042474+5.4392e-05i,0.00069551+6.2886e-05i,0.00035647+0.00016786i
0.00012751-0.0014275i,-7.3631e-05-0.0014018i,-0.00029105-0.0014667i,-9.5388e-05-0.001752i,0.00014853-0.001313i,0.00020368-0.00092833i,-0.00053786-0.00075838i,-0.00060104-0.00035797i,0.00014198+1.3742e-05i,7.89e-05+0.00027191i,-0.00048991-0.00030967i,-5.2715e-05-0.00032937i,0.00054632-0.00010374i,0.00055168+0.00025607i,-0.00010799+0.00043087i,-0.00057202-0.00035103i,-0.00030633-0.00070986i,-0.00032035-0.00060654i,-0.00086833-0.0010351i,-0.00058032-0.00050548i,-0.00034499+0.00047424i,-0.00039595-0.00057853i,0.00033081-0.00078813i
