-0.0031383+0.0009368i,-0.0019266+2.0515e-05i,-0.0040192-0.00077736i,-0.0041781-0.00031509i,-0.0026715+0.00060438i,-0.0018202+0.0010001i,-3.0971e-05+0.0014441i,0.0017356+0.0021071i,0.0020167+0.0013851i,0.001646+0.00010864i,0.00062027-0.0012769i,-0.0005654-0.0022931i,-0.0016446-0.0014291i,-0.0010258-0.00016414i,-0.00029656-0.00014273i,-0.00043255-3.6832e-06i,-0.00017292+0.0003151i,0.00024732+0.00059134i,0.00012247+0.00043501i,-0.00048678+0.00095421i,-0.00049712+0.0016165i,-0.00062038+0.00065523i,-0.00016255-0.00059549i
-0.00047113-0.00086443i,-5.8846e-05-0.001313i,0.00013346-0.0018043i,-0.00059237-0.0010579i,-0.0011171+0.00079252i,7.3617e-05+0.0018287i,0.0010769+0.00084954i,0.0012504-0.00032944i,0.0011819-0.00064423i,0.00082304-0.00092876i,0.00012188-0.00055231i,-4.0084e-05-0.00068798i,-0.0002147-0.0009499i,-0.00046422-3.1132e-05i,-0.00071424+9.8837e-05i,-0.0011715-0.00012624i,-0.0007216+0.00056962i,-0.00056126+0.0012627i,-0.00035763+0.0010754i,-0.00017126+0.00093019i,-0.00010508+0.00050233i,-0.00010382+0.00038282i,0.00014299+0.00025611i
-4.2422e-05+0.0026368i,0.00022267+0.0033705i,0.002243+0.0022426i,0.0026922+0.0012073i,0.0013503+0.0010192i,0.0007796+0.0011165i,0.00091791+0.00099439i,0.00085624+0.00064785i,0.00046644+0.00020968i,0.00082555+0.00012773i,0.0011029-2.5916e-06i,0.00057559-0.0005378i,0.00062245-0.00090556i,0.00098994-0.0012354i,0.00083471-0.00045505i,1.9507e-05-0.00017611i,-0.00042993-0.00025233i,-2.1594e-05+0.00052378i,0.00045121+0.0012805i,0.00080187+0.0010832i,0.00064208+0.00067549i,0.00067543+0.000708i,0.0010633+0.00051339i
-0.0025925-0.0027037i,-0.0027453-0.0022447i,-0.0027249-0.0020543i,-0.0014438-0.0014216i,-0.00043916+0.00017129i,-9.8882e-05+0.0013391i,2.487e-05+0.0014206i,0.00013844+0.00075175i,0.00080354+2.7741e-05i,0.00091821-0.00036565i,1.9703e-05-0.00088232i,-0.00048464-0.0006906i,-0.00024927-0.00014087i,-0.00019374-7.3207e-05i,0.00028095+0.00055195i,0.0002373+0.00097755i,-0.00045072+0.0010671i,-0.00036012+0.0010613i,-0.00014339+0.0011071i,-0.00063079+0.0012491i,-0.00037004+0.00041224i,0.00019923+3.2523e-05i,0.00016644+0.00011082i
0.0027196-0.00069087i,0.0029001-0.0011428i,0.0023547-0.00090452i,0.00036931-0.00061566i,-0.0012539-0.0009462i,-0.00084268-8.7149e-06i,0.00026073+0.0016106i,0.00049441+0.0015876i,0.0003363+0.00037975i,-7.6759e-05-0.00039512i,-0.00048759-0.00090904i,-0.00061534-0.0010173i,-0.00020814-0.00064651i,0.00022002-0.00039388i,0.00021236+0.00024388i,0.00010455+0.00070183i,0.00019169+0.0005673i,0.00029811+0.00067867i,-0.00045479+0.0010031i,-0.00094688+0.00098254i,-0.00044939+0.00063968i,-0.0001284+0.00040441i,-0.00013258+7.5461e-05i
0.00104+0.0019116i,0.0024908+0.002291i,0.003701+0.0023244i,0.002799+0.00095717i,0.0012639+0.00088147i,0.00060543+0.0009738i,0.00085973+0.00057063i,0.0012904+7.9419e-05i,0.00094715-0.00014842i,0.00035148-0.00039626i,-0.00063808-0.0016615i,-0.0018602-0.002074i,-0.0013624-0.00084012i,0.00033101+1.8414e-05i,0.00028143+2.3015e-05i,-0.00071791+0.00012174i,-0.0014201+0.00019387i,-0.0012515+0.00058369i,-0.00068917+0.00058342i,0.00022778+0.00080462i,0.00070897+0.001308i,0.0006748+0.00080348i,0.00065965-0.00063394i
-0.0011072-0.0028794i,-0.0012416-0.0017386i,-0.00063438+0.00063244i,-0.00054483+0.00097863i,-0.0003495+0.00079137i,0.00051727+0.0011039i,0.0015051+0.00099532i,0.0019915-1.3105e-06i,0.001193-0.00059872i,0.00019797-0.00058997i,-0.00020183-0.00049342i,-0.00051967-0.00040292i,-0.00062408-0.00041986i,-0.00055329-0.00083566i,-0.00031395-0.00047735i,-0.00021715+0.00067571i,-0.00017996+0.00071835i,0.00040424+5.282e-05i,0.00054597-0.00030414i,6.8537e-05-0.00075751i,0.00012187-0.00077154i,-0.00023097-0.00086132i,-0.00029784-0.0011081i
-9.3953e-05-9.6719e-05i,0.00049042-0.00092753i,5.1184e-05-0.00062312i,-0.00084139+0.00013613i,-0.00075432+0.00033674i,-0.00045563+0.00071154i,8.6355e-05+0.0010885i,0.00072559+0.00073937i,0.00091217+3.5107e-05i,0.0012337-0.00041695i,0.00018262-0.0010156i,-0.0009922-0.0013085i,-0.0011696-0.00056099i,-0.00068543+0.0007219i,-0.00017664+0.0016028i,-0.00020155+0.0013118i,-0.00069232+0.00105i,-0.0012356+0.0011396i,-0.0010129+0.00077866i,-0.00059409+0.00060091i,-0.00018861+0.00084247i,0.00064055+0.00080241i,0.00062885-0.00014743i
0.00084792+0.00028577i,-0.00010715+0.00079074i,-0.00052687+0.00015948i,-0.0004317+0.00013832i,-0.00080267+0.0007165i,-0.00043696+0.0015687i,0.00063674+0.0015126i,0.0010037+0.0006421i,0.00085263+4.1332e-05i,0.00080323-0.00056572i,-0.00020973-0.0013941i,-0.0016633-0.0017572i,-0.0017576-0.0011667i,-0.00096145-0.0010818i,-0.0008827-0.0015164i,-0.00064232-0.0017229i,-0.00027245-0.0013433i,-0.00016276-0.00049401i,0.00045683-0.00013747i,0.00028058+3.8687e-05i,0.00058649+0.00040382i,0.00077723+0.0010687i,-2.947e-05+0.0010855i
-0.0010833-0.0011122i,-0.0019875-0.00064821i,-0.0025947+0.00018457i,-0.0011542+0.00041114i,0.00089089+0.0013329i,0.0009233+0.001813i,0.00084627+0.0016292i,0.0010027+7.3472e-05i,0.0004593-0.0009775i,0.00038931-0.00098585i,-0.00018249-0.00095406i,-0.00097981-0.0010365i,-0.0011668-0.00013507i,-0.00072829+0.00050899i,-0.00046125-3.5801e-05i,-0.00024938-0.00052835i,-0.00086773-0.00046635i,-0.0012782-0.00024994i,-0.0010391+0.00017961i,-0.00031847+0.00021898i,0.00044697+0.00022582i,0.00063834+0.00047356i,0.00050589+7.0215e-05i
0.00017477-3.8552e-05i,0.00054967-0.00061554i,0.00082731+0.00040964i,0.00071984+0.00047128i,0.00044622+0.0009077i,-0.00026409+0.0014159i,-0.00014007+0.00047496i,0.00039126+5.3314e-06i,0.00024874+0.00014686i,0.00046547-0.00024182i,-0.00041849-0.00073861i,-0.0015972-0.00074577i,-0.00099336-0.0001953i,-0.0012346-0.00010027i,-0.0011853-0.00011376i,0.00010461+0.00035562i,0.00033648+0.00033287i,0.00083872+2.8634e-05i,0.0012072+0.00010606i,6.4913e-05-0.00012452i,-3.1414e-05-0.00025785i,0.00031356-0.00021101i,-0.00056678-0.00017967i
0.00010535+0.001093i,-0.0015731+0.001716i,-0.0015831+0.0022273i,-0.00099664+0.001507i,-0.00076802+0.00055798i,-0.00084062+0.00051255i,-0.00047523+0.000651i,0.0004051-0.00010073i,0.0011454-0.00051657i,0.0012269-0.00015574i,0.00065092-0.0003108i,-2.4389e-05-0.00014957i,-0.0012701+0.00053749i,-0.00081643+0.00069476i,0.00071831+0.0011252i,0.0004437+0.0011194i,-0.00036405+0.0010961i,-0.00045969+0.0014847i,0.00025135+0.0010764i,0.00034126+0.00053834i,-7.2388e-05+0.00043735i,0.00041823-0.00013636i,0.00026965+8.8675e-05i
0.0016599-0.0010496i,0.0018603-0.0020218i,0.0017806-0.0018842i,0.0010268-0.00061094i,-0.00063364+0.00044921i,-0.0010359+0.00080916i,0.00020203+0.00097227i,0.0013892+0.00050339i,0.0014407-0.00069339i,0.00049713-0.001434i,-0.00043058-0.0012799i,-0.00094001-0.0010203i,-0.00062772-0.00069518i,-0.00027923-0.00021702i,-0.00073871-7.7595e-06i,-0.00049779-5.8223e-05i,0.00031018+0.00012556i,0.00070831+0.00080634i,0.00081241+0.00075725i,0.00061171+0.0006492i,0.00048124+0.00088899i,0.00039206+3.4592e-05i,0.00048552-0.00088173i
-0.00054691+0.0010877i,-0.00087633+0.0026474i,-0.00050079+0.0030995i,-0.00015046+0.0021938i,-7.9882e-05+0.0025669i,6.7088e-05+0.002584i,0.00085683+0.00063538i,0.00078799-0.00034198i,0.00036229-0.00031709i,0.00047765-0.00088121i,-0.00051997-0.0017731i,-0.00095086-0.00135i,-5.6165e-05-0.00069398i,0.00020486-0.00071129i,-0.00029118-5.9057e-05i,-0.00092043+0.00035876i,-0.00089791+0.00043438i,-0.00064069+0.00081079i,-0.00039355+0.00069453i,-0.00040758+0.0002868i,-0.0002899+3.4959e-05i,5.8492e-05+0.00015428i,-2.3828e-05+0.00067583i
-0.00037389-0.0010073i,-0.00062317-0.00051093i,-0.00070346-0.00092251i,-0.0010559-0.00080281i,-0.00015888+0.0010497i,0.00084563+0.001626i,0.0012908+0.00016705i,0.0016822-0.00037816i,0.0016577-0.00010708i,0.0011971-0.00070498i,-0.00015245-0.0016196i,-0.0010843-0.0013119i,-0.0011375-0.00067528i,-0.00075955-5.1105e-05i,-0.00074394+0.00025585i,-0.00062229-1.2616e-05i,-0.00032456+0.00049222i,-0.00015835+0.0011242i,0.00032289+0.00095301i,0.00041893+0.0010962i,-0.00032754+0.0014206i,-0.00049137+0.001366i,-0.00029691+0.0007169i
-0.0013076-0.00016413i,-0.00083772+3.707e-05i,-0.00092538+0.00045984i,-0.00056093+0.0010331i,-0.00016606+0.0019529i,0.00027944+0.0022566i,0.00030886+0.0015792i,0.00029965+1.6661e-05i,0.0007933-0.00082581i,0.00038453-0.00031337i,-0.00028023-0.00033497i,-0.0011639-0.00085778i,-0.00098513-0.00039786i,-0.00067885+4.6768e-05i,-0.0004864-0.00036316i,-0.00024644-0.00085648i,0.00079573-0.00045963i,0.00078716+0.00018313i,-0.00041685+0.0005984i,-0.00077988+0.00071562i,-6.9277e-05+0.00071784i,0.0010187+0.00043287i,0.0010367-0.00023074i
-0.00081654-0.0015083i,-0.0001296-0.0016979i,-0.0004534-0.0025027i,-0.0017669-0.0016767i,-0.0027173-0.00035557i,-0.0017339+0.00033758i,0.00030167+0.00086792i,0.00055802+0.001064i,0.00024281+0.00023565i,0.00083899-0.00069117i,0.00054608-0.00062697i,2.3283e-06-0.00050355i,-0.00027432-0.0011277i,-4.8019e-05-0.0012666i,0.00036859-0.00087121i,1.5818e-05+0.00015186i,0.00023549+0.0011569i,0.00048552+0.001199i,0.00055721+0.00035327i,0.00039726-7.8814e-05i,-0.00024984+0.00029948i,-0.00034987+0.00023331i,-6.1743e-05-6.6759e-05i
0.0017673+0.00058728i,0.001645+0.00017891i,0.0025561-0.00052021i,0.0020424-0.00062445i,0.00034313+0.00021808i,-0.00054533+0.00075535i,8.9057e-05+0.00038472i,0.00017656-0.00018447i,5.1793e-05-0.00026233i,-7.6986e-05-0.00037677i,-0.0003544-0.0014909i,-0.00045141-0.0019716i,-0.00086526-0.0013132i,-0.00058293-0.00089122i,0.00022087-0.0011678i,0.00045817-0.0010574i,-0.00030009+0.00026794i,-0.00016345+0.0013547i,-2.7737e-05+0.00090918i,6.5106e-05+0.00026406i,0.00041311+0.00050418i,0.00065314+0.00017069i,0.0010085-0.00081059i
0.00030019-0.00016378i,-0.001077-0.00082787i,-0.0012123-0.00094366i,-0.0013711-0.00011517i,-0.00096399+0.00015292i,-0.00026105+0.00039441i,-0.00013036+0.00061704i,-0.00021171+0.0002227i,-0.00036664-0.00061694i,-0.00029121-0.00046235i,-0.0002518-0.00029654i,-0.00039638-0.00074777i,-0.0003733-0.00069343i,-0.00045007-0.00065895i,-0.00063636-0.00012596i,-0.00055998+0.00038001i,5.8077e-05+0.00072237i,0.00032262+0.00082327i,-3.9149e-06+0.0007779i,-0.00036086+0.00048852i,3.8328e-05+0.00021906i,0.00014489-0.00011801i,0.00062209-0.00058995i
-0.0011023+0.0007345i,-0.00047656+0.0012362i,-0.00067642+0.0023268i,-0.00087651+0.0014643i,-0.0010903+0.00079696i,-0.00064128+0.0011481i,-0.00026531+0.00053828i,-0.0001782+0.00024402i,6.1687e-05+0.00033629i,-1.8707e-05-0.00077143i,0.00029296-0.0015873i,-9.5881e-05-0.00068475i,-0.0010281+0.00030616i,-0.00039926+0.00049602i,0.00046762+0.00030965i,0.00041721+0.00032683i,0.00019627+7.8954e-05i,0.00021503-0.00051709i,0.00041565-0.00019271i,0.00022842+7.1602e-06i,0.0004034-5.3426e-05i,0.00093361+0.00053289i,0.0010993+0.0005152i
