-0.0036742+0.00085606i,-0.0032992+0.0010976i,-0.004636+0.0028344i,-0.0046205+0.0031304i,-0.0028941+0.0019882i,-9.6272e-05+0.0011297i,0.001697+0.00084558i,0.0023756+0.00075432i,0.0025057+0.00084739i,0.001493+0.00044287i,0.0013786-0.00020354i,0.0014534+0.00019623i,0.0005795+0.0012413i,0.00040879+0.0015306i,0.00046457+0.00077614i,-9.5435e-05+0.00082564i,6.8375e-05+0.00067374i,-0.00021005+7.775e-05i,-0.0014962+0.00058078i,-0.00085534+0.0011867i,0.00040312+0.0015377i,0.00061624+0.00073531i,0.00039848-0.00030329i
0.00045434+0.0011188i,-1.547e-05+0.0012945i,0.00042266-0.00035195i,0.00094263-0.0014748i,0.0008572-0.0018073i,0.0014174-0.0019723i,0.0014315-0.00095787i,0.00050111-9.7594e-05i,0.00029423+0.00046528i,0.00055353+0.00013484i,-0.00011808-0.00023417i,-0.0003434+0.00022916i,-0.00043553+4.4615e-05i,-0.00089533-0.00048603i,-0.00034322-0.00018374i,-0.00028473+3.3589e-05i,-0.00029515-0.00048959i,0.0001281-0.00097599i,0.00064152-0.00070713i,0.00099004-0.0007811i,8.3357e-05-0.00066683i,-0.00084922-0.00060894i,-0.00018855-0.00098329i
-0.00084277+0.00069071i,0.00080981-0.00056486i,0.0022988-0.00072604i,0.0027733-0.0019972i,0.0025088-0.003338i,0.0021497-0.0034819i,0.0011264-0.0022335i,0.0004987-0.0011465i,-0.00019159-0.00067286i,-0.00033213-0.00023326i,-0.00017583+4.2077e-05i,-0.00033927+0.00022865i,-0.00033533-0.00018602i,-6.4193e-05-0.00020619i,0.00012613+9.1477e-06i,0.00054677-0.00018887i,0.00077096+0.00041293i,4.5803e-05+0.00049862i,-0.00020578+0.00025951i,-0.0004029+0.00042195i,-0.00020258+6.996e-05i,7.8755e-05+5.8301e-05i,0.00040349+0.00046968i
0.00059713-0.0012613i,0.00093313-0.0025762i,-0.00036726-0.0033056i,-0.0003953-0.00398i,0.00013165-0.0036976i,0.0010537-0.0027232i,0.0021082-0.0014624i,0.0014387-0.00090446i,8.0572e-05-0.00089408i,2.8026e-05-0.00067981i,-0.00060707-0.00061307i,-0.0016627-0.00011053i,-0.0011289+0.00018779i,-0.0011237+0.00051234i,-0.00099132+0.00066299i,-0.00061423+0.00057001i,-0.0004088-0.00014142i,0.00062955-0.00023255i,0.0003678+6.5677e-05i,-0.00032389+0.00011702i,-0.00067592+0.00011326i,-0.00075209-1.6034e-05i,-0.00012456-0.00048356i
-0.001911-0.00094736i,-0.00096413-0.0012526i,0.00069022-0.0007429i,0.0013229-0.0012474i,0.00072076-0.0017218i,0.00083674-0.00073558i,0.0010828+6.5642e-05i,0.00063651+0.00023649i,0.00023985+0.00023712i,0.00036814+0.00042046i,0.00040035+0.00044085i,0.0002401+0.00024488i,0.00033314+0.00013837i,-0.00014338+0.00039045i,-0.00047698+0.00024756i,0.00033306-0.00015335i,3.4975e-05-0.00025984i,-0.00053051-6.4014e-05i,-0.00052849+0.00090568i,-0.00074893+0.00085458i,-0.00094426+0.00060575i,-0.00078518+0.0002556i,-0.00088975-0.00063103i
0.0023468-0.0015791i,0.0018717-0.0020176i,0.00074211-0.0034556i,-0.00015307-0.0052121i,-0.00092722-0.0051403i,-0.00043658-0.0028721i,0.00093564-0.0010586i,0.00064237-0.0011888i,-0.00043357-0.0011371i,-0.00043198-0.00074544i,3.0777e-05-0.00071362i,0.00044726-0.00030788i,0.00020712+0.00013545i,-0.00049351+6.8119e-05i,5.4646e-05-0.00016119i,0.00059885-0.00028194i,0.00014362-0.00056948i,-0.00046514-0.00079033i,-0.00031015-0.00059205i,0.00051246-0.00052304i,0.00046789-0.00055959i,0.00037092-0.00033294i,0.00082946-9.9348e-05i
-0.00067355-0.00048795i,0.00080499-0.0013238i,0.0024494-0.0015067i,0.001649-0.0014307i,0.0011139-0.0023566i,0.00093412-0.0023683i,0.00045167-0.0017534i,0.00039942-0.0015606i,0.0006525-0.00049964i,0.000162+0.00012668i,-0.00013151-9.6457e-05i,2.3784e-05+0.0002528i,0.00031016+0.0004361i,0.00062147+0.00053111i,0.00038125-0.00026182i,0.000187-0.00077271i,0.00041883-5.3541e-05i,0.00058902+0.00028859i,-0.00021981-7.536e-05i,-0.00070954-0.00012909i,-0.00037336-0.00025295i,-0.0005399-6.8255e-05i,-0.0012379-0.00016707i
-0.00010346+8.1468e-05i,0.00014591-0.0011206i,0.00059771-0.0026563i,0.00024883-0.0023153i,-0.0002423-0.0025309i,0.00052555-0.0028354i,0.001295-0.001798i,0.00097081-0.0010742i,0.00016471-0.00077704i,-8.8183e-05-0.00034382i,-0.0005642+0.00012884i,-0.0013776+0.00035105i,-0.0013304-0.00039112i,-0.00094502-0.00069297i,0.00011449-7.8353e-06i,0.00072729+0.0003306i,0.00016039+0.00065176i,-0.00030679+0.00091237i,5.039e-05+0.00046472i,0.00010797+0.00039703i,-0.00043499+0.0007311i,-0.00056147-0.00010201i,-0.0001113-0.00041642i
0.0010513+0.00044141i,0.0019267-0.00010644i,0.0020787-0.00099619i,0.0014389-0.0019831i,0.00090355-0.0021717i,0.00074762-0.0022995i,0.0011933-0.0019787i,0.0010346-0.0010475i,0.00061042-0.00061069i,0.00051803-0.00053032i,0.00031854+0.00048147i,-0.00053406+0.00095458i,-0.00099043+0.0008951i,-0.00081581+0.00089154i,0.00018879+0.00086786i,0.00049203+0.00048654i,-0.00030611-0.00035745i,-0.00034439-0.00028619i,0.00028166-0.00057691i,0.00022929-0.00054493i,-0.00035258-0.0001457i,-0.00050087-0.00097793i,-0.00045676-0.0013331i
-0.00034864-0.0013688i,0.00010021-0.0026392i,0.00077355-0.0033181i,0.0011204-0.0032903i,0.001003-0.0025525i,0.0014727-0.0011715i,0.0013255-0.00027097i,0.0009356-0.00022447i,0.00070041-0.00022973i,-0.00038207+3.2481e-05i,-0.0011545-6.3751e-05i,-0.00031298-4.6702e-05i,-0.00010694+0.00044937i,-0.00014584+0.0010257i,0.0001787+0.0010315i,0.00033856-9.015e-06i,0.0003684-0.00039534i,0.00032379+3.632e-05i,-0.00015269+0.00023079i,-0.00012681+0.0011198i,-0.00034768+0.0010031i,-0.00078727+0.00053077i,-0.00060883+0.00049023i
0.0030331-0.00049468i,0.0017778-0.00070951i,0.00090116-0.001994i,0.0005008-0.0027364i,-0.00040277-0.0028251i,-0.00016686-0.0025663i,0.00097894-0.0014634i,0.0011999-0.00027337i,0.00044961-4.7458e-05i,0.0007177-0.00044542i,0.00075516-0.00045349i,-0.00021305-0.00047745i,-0.00088415-0.0010425i,-0.0010818-0.00058518i,-0.0010058+0.00044759i,-0.00075318+0.00065893i,-0.0005893+0.00041622i,-0.00067245+0.00039625i,-0.00014171+0.0004414i,0.00031177+0.00043584i,0.00055828+0.00037557i,0.000561+0.00026001i,0.00081331+0.0005764i
